ATTR_ID,DROP_OPTION
1,No
1,Yes
2,No
2,Yes
3,Beer and Wine
3,Full Bar
3,None
4,Casual
4,Classy
4,Divey
4,Hipster
4,Intimate
4,Romantic
4,Touristy
4,Trendy
4,Upscale
5,Casual
5,Dressy
5,Formal
6,No
6,Yes
7,No
7,Yes
8,No
8,Yes
9,No
9,Yes
10,No
10,Yes
11,No
11,Yes
12,Dairy-Free
12,Gluten-Free
12,Halal
12,Kosher
12,Soy-Free
12,Vegan
12,Vegetarian
13,No
13,Yes
14,No
14,Yes
15,No
15,Yes
16,No
16,Yes
17,No
17,Yes
18,No
18,Yes
19,No
19,Yes
20,No
20,Yes
21,No
21,Yes
22,No
22,Yes
23,No
23,Yes
24,Africanamerican
24,Asian
24,Coloring
24,Curly
24,Extensions
24,Kids
24,Perms
24,Straightperms
25,No
25,Yes
26,No
26,Yes
27,DJ
27,Jukebox
27,Karaoke
27,Live
27,Video
28,Average
28,Loud
28,Quiet
28,Very Loud
29,No
29,Yes
30,No
30,Yes
31,No
31,Yes
32,Garage
32,Lot
32,Street
32,Valet
32,Validated
33,No
33,Outdoor
33,Yes
34,No
34,Yes
35,No
35,Yes
36,No
36,Yes
37,No
37,Yes
38,Free
38,No
38,Paid
