TAG_ID,TAG_NAME
1,Restaurant
2,American
3,Chinese
4,Mexican
5,Indian
6,Fast Food
7,Cafeteria
8,Cafe
9,Barbeque
10,Burger
11,Hot Dog
12,Pizza
13,Salad
14,Active Life
15,Golf
16,Fitness & Instruction
17,Gym
18,Yoga
19,Dance Studio
20,Shopping
21,Fashion
22,Bookstore
23,Nightlife
24,Bar
25,Lounge
26,Wine Bar
27,Food
28,Bakery
29,Art & Entertainment
30,Museum
31,Cinema
32,Beauty & Spa
33,Hair Salon
34,Tattoo
35,Automotive
36,Auto Repair
37,Car Wash
38,Gas & Service Station
39,Car Dealer
40,Financial Service
41,Bank & Credit Union
42,Insurance
43,Home Service
44,Real Estate
45,Property Management
46,Hotel & Travel
47,Hotel
48,Health & Medical
49,Hospital
50,Dentist
